Sl.No,grade,carbon,silicon,manganese,copper,cr,mo,type
1,400/15,3.65,1.7,0.3,0.18,0,0,sg_iron
2,450/12,3.7,1.7,0.4,0.25,0,0,sg_iron
3,500/7,3.7,1.7,0.5,0.4,0,0,sg_iron
4,600/3,3.7,1.7,0.6,0.5,0,0,sg_iron
5,700/3,3.7,1.6,0.65,0.55,0,0,sg_iron
6,Si Mo,3.25,3.8,0.35,0,0,1,sg_iron
6,crca,0.002,0.002,0.3,0,0,0,crca
7,pig_iron,3.8,1.8,0.3,0,0,0,pigiron
8,foundry,3.55,2.5,0.35,0.4,0,1,foundry
9,boring,3.1,2.1,0.7,0.02,0,0,boring
9,FG200,3.3,1.6,0.85,0,0,0,gray_iron
10,FG220,3.3,1.6,0.85,0.2,0,0,gray_iron
11,FG300,3.3,1.6,0.95,0.25,0.45,0,gray_iron
12,FG350,3.3,1.6,0.95,0.35,0.55,0,gray_iron
